"Configure numeric default generators","Need to define range for all default numeric generator in [AutoBindingParser.cs](https://github.com/mezm/factorybot/blob/master/src/FactoryBot/ExpressionParser/AutoBindingParser.cs).\r\nAppropriate ranges should be applied to:\r\n- `int`\r\n- `long`\r\n- `short`\r\n- `byte`\r\n- `double`\r\n- `float`\r\n- `decimal`","enhancement","#27: adjusted ranges for numeric generators in auto binding",""
"incorrect GetUpperBound example","\r\n[Enter feedback here]\r\n\r\nthis is incorrect:\r\n\r\nPS> $data.GetUpperBound(0)\r\nThree\r\n\r\nit should be:\r\n\r\nPS> $data.GetUpperBound(0)\r\n3\r\n\r\n---\r\n#### Document Details\r\n\r\n\xe2\x9a\xa0 *Do not edit this section. It is required for docs.microsoft.com \xe2\x9e\x9f GitHub issue linking.*\r\n\r\n* ID: e99e524d-54e5-4119-9ebf-4fdbb7626122\r\n* Version Independent ID: 271e2b41-af42-d4b5-3fdb-139aa5114b11\r\n* Content: [Everything you wanted to know about arrays - PowerShell](https://docs.microsoft.com/en-us/powershell/scripting/learn/deep-dives/everything-about-arrays?view=powershell-7)\r\n* Content Source: [reference/docs-conceptual/learn/deep-dives/everything-about-arrays.md](https://github.com/MicrosoftDocs/PowerShell-Docs/blob/staging/reference/docs-conceptual/learn/deep-dives/everything-about-arrays.md)\r\n* Product: **powershell**\r\n* Technology: **powershell-conceptual**\r\n* GitHub Login: @joeyaiello\r\n* Microsoft Alias: **jaiello**","conceptual","Fixes #6242 - return index not value","# PR Summary\r\n<!-- Summarize your changes and list related issues here -->\r\nFixes [AB#1744405](https://dev.azure.com/mseng/677da0fb-b067-4f77-b89b-f32c12bb8617/_workitems/edit/1744405) - Fixes #6242 - return index not value\r\n\r\n## PR Context\r\n<!--\r\nThere is a numbered folder for each version of the PowerShell cmdlet content.\r\nChanges to cmdlet reference should be made to all versions where applicable.\r\nThe /docs-conceptual folder tree does not have version folders.\r\n-->\r\n\r\nSelect the area of the Table of Contents containing the documents being changed.\r\n\r\n**Conceptual content**\r\n- [ ] Overview and Install\r\n- [ ] Learning PowerShell\r\n  - [ ] PowerShell 101\r\n  - [x] Deep dives\r\n  - [ ] Remoting\r\n- [ ] Release notes (What\'s New)\r\n- [ ] Windows PowerShell\r\n  - WMF, ISE, release notes, etc.\r\n- [ ] DSC articles\r\n- [ ] Community resources\r\n- [ ] Sample scripts\r\n- [ ] Gallery articles\r\n- [ ] Scripting and development\r\n  - [ ] Legacy SDK\r\n\r\n**Cmdlet reference & about_ topics**\r\n- [ ] Version 7.1 preview content\r\n- [ ] Version 7.0 content\r\n- [ ] Version 6 content\r\n- [ ] Version 5.1 content\r\n\r\n## PR Checklist\r\n\r\n- [x] I have read the [contributors guide][contrib] and followed the style and process guidelines\r\n- [x] PR has a meaningful title\r\n- [x] PR is targeted at the _staging_ branch\r\n- [x] All relevant versions updated\r\n- [x] Includes content related to issues and PRs - see [Closing issues using keywords][key].\r\n- [x] This PR is ready to merge and is not **Work in Progress**\r\n  - If the PR is work in progress, please add the prefix `WIP:` or `[WIP]` to the beginning of the\r\n    title and remove the prefix when the PR is ready.\r\n\r\n[contrib]: https://docs.microsoft.com/powershell/scripting/community/contributing/overview\r\n[key]: https://help.github.com/en/articles/closing-issues-using-keywords\r\n"
"Add Health Check to EC2 Flask Server","We should ping the EC2 server before sending a request to generate proto files from it to ensure we aren\'t wasting a request/the user\'s time.","enhancement","Add Health Check to EC2 Flask Server","Resolves #2"
"akashctl events: show module, action","\r\n`akashctl events` currently shows:\r\n\r\n```\r\nid:\r\n  owner: akash1uaamq2yk53y0pkykp9h8dq2u3sa2y5g5ec8242\r\n  dseq: 100971\r\n  gseq: 1\r\n  oseq: 1\r\n  provider: akash1sz43rlut99r8l7rfkej8cqxa66arqkhra2v4cp\r\nprice:\r\n  denom: akash\r\n  amount: ""1000""\r\n\r\nid:\r\n  owner: akash1uaamq2yk53y0pkykp9h8dq2u3sa2y5g5ec8242\r\n  dseq: 100971\r\n  gseq: 1\r\n  oseq: 1\r\n  provider: akash1sz43rlut99r8l7rfkej8cqxa66arqkhra2v4cp\r\nprice:\r\n  denom: akash\r\n  amount: ""1000""\r\n```\r\n\r\nwe also want to show the `module` and `action` of each event.","","feat: events - expose name, module","fixes #718\r\n\r\n"
"bug_report.md Does not Request a Version","User should be asked to supply the version (s)he is reporting the bug against.","type: enhancement","GH-3321: Add version section into bug_report.md","Fixes https://github.com/spring-projects/spring-integration/issues/3321\r\n\r\n<!--\r\nThanks for contributing to Spring Integration. \r\nPlease provide a brief description of your pull-request and reference any related issue numbers (prefix references with #).\r\n\r\nSee the [Contributor Guidelines for more information](https://github.com/spring-projects/spring-integration/blob/master/CONTRIBUTING.adoc).\r\n-->\r\n"
"Stuck at configuring sensors","<!-- Please READ THIS FIRST\r\nIf your issue relates to something not looking right on Home Assistant within the Companion App, please check if the error is present in Safari on iOS too. If the issue is also seen in Safari, please open an issue on the frontend repo (https://github.com/home-assistant/frontend/issues/new?labels=bug&template=BUG_REPORT.md) instead -->\r\n\r\n**iOS device model, version and app version**\r\n<!-- Please include your device \'Model Name\' and \'Software Version\' as listed in iOS Settings>General>About. Please also give the app version listed beneath ""Home Assistant Companion"" in the App Configuration>About menu within the app, please include the number in brackets -->\r\n\r\nModel Name: iPhone XS / iPhone 11 Pro Max Simulator\r\nSoftware Version: iOS 14beta1 / 13.4\r\nApp version: Dev @ [`42788e1`](https://github.com/home-assistant/iOS/commit/42788e16131de74562eaeba380b69c74efd9c0c4) current `master` at time of writing.\r\n\r\n**Home Assistant Core Version**\r\n<!-- Please give the version number of Home Assistant Core you are running -->\r\n0.112.3\r\n\r\n**Describe the bug**\r\n<!-- For location issues, please specify if using the new ""In-Development Updating"" option under App Configuration > Location -->\r\nOn iOS 14 with the current master branch, the app hangs at onboarding during the checklist. All tasks complete except the final ""Sensors Configured"" stage where, the animation loops endlessly. The only related log I can see on the HA side is:\r\n\r\n```text\r\nLogger: homeassistant.components.mobile_app.webhook\r\nSource: components/mobile_app/webhook.py:163\r\nIntegration: Mobile App (documentation, issues)\r\nFirst occurred: 9:40:06 (7 occurrences)\r\nLast logged: 14:17:01\r\n\r\nRefusing to accept unencrypted webhook from Tom\xe2\x80\x99s iPhone\r\n```\r\n\r\nI can\'t see why the app is trying to send an unencrypted message on the webhook. This is a clean install and I deleted any related old integrations for the dev build. After closing the app with onboarding stuck, I get four notifications shown below. I don\'t see this on the simulator (which HA doesn\'t know)\r\n\r\n**To Reproduce**\r\nInstall app at commit referenced above\r\n\r\n**Expected behavior**\r\nOnboarding to complete\r\n\r\n**Screenshots**\r\n<!-- If applicable, add screenshots to help explain your problem. -->\r\n![IMG_1146](https://user-images.githubusercontent.com/12411302/86788366-fef23880-c05d-11ea-916f-fbea8d8b8aaa.PNG)\r\n\r\n**Additional context**\r\niOS 14 install to device done with XCode 12.0beta, sim install with 11.5","crash,dev","Fix WebhookManager issue during login","- Make WebhookManager & SensorContainer a singleton in Environment. The system really does not like the background session identifiers being reused, which happens during login as HomeAssistantAPI instances are created and destroyed.\r\n- Adds a mutex around the state handling coming back from URLSession delegate methods and enqueueing. This doesn\'t seem to be a problem, but better safe than sorry.\r\n\r\nFixes #759."
"feat(cli) Clearly output what version upgrade is being considered","Many users seem to be confused about why they are getting errors saying  `Failed to connect to an apt repository. You may not be connected to the Internet.`:\r\n\r\n- https://github.com/pop-os/beta/issues/15\r\n- https://github.com/pop-os/beta/issues/36\r\n- https://github.com/pop-os/beta/issues/45\r\n- https://github.com/pop-os/upgrade/issues/97\r\n\r\nAt least some of these users are probably trying to check that their upgrade to 20.04 was complete. When they are doing so, the tool [actually tries to upgrade to (and fails to reach repos for) 20.10](https://github.com/pop-os/beta/issues/45#issuecomment-619425343).\r\n\r\n### Behavior / steps to reproduce\r\n\r\nThis is what you see when you run `sudo pop-upgrade release upgrade systemd -f` on the most recent release: \r\n```\r\nEvent: removing deprecated and/or conflicting packages\r\nEvent: updating package lists for the current release\r\nEvent: fetching updated packages for the current release\r\nEvent: upgrading packages for the current release\r\nEvent: ensuring that system-critical packages are installed\r\nEvent: updating the source lists to the new release\r\nFailed to connect to an apt repository. You may not be connected to the Internet.\r\n```\r\n\r\n### Expected\r\n\r\n1. A message at the beginning saying something like `Found 20.04, attempting to upgrade to 20.10`\r\n2. An error message or logging on `NoConnection` that shows _which_ repository requests failed. For some of the users who were confused above, seeing that it was trying to reach 20.10 repos would have answered the question.","","feat(cli) upgrade: output current, next, available","Addresses a usability issue discussed further in #98 and #99 by outputting current, next, and available to STDOUT on every invocation of `upgrade`.\r\n\r\n![image](https://user-images.githubusercontent.com/1284973/80290006-9d822500-8710-11ea-8346-91892249bc20.png)\r\n\r\nCloses #98"
"Investigate swapping Microsoft.Azure.Services.AppAuthentication nuget dependency for Azure.Identity","**Is your feature request related to a problem? Please describe.**\r\nRight now there is a lot of duplication in terms of Azure SDKs and the Azure team is trying to consolidate on a common set of SDKs. Right now we have a dependency on [Microsoft.Azure.Services.AppAuthentication](https://www.nuget.org/packages/Microsoft.Azure.Services.AppAuthentication/) for our Durable HTTP feature. However, the guidance we\'re hearing is that we should instead use [Azure.Identity](https://www.nuget.org/packages/Azure.Identity/).\r\n\r\n**Describe the solution you\'d like**\r\nHopefully we can simply replace our usage of **Microsoft.Azure.Services.AppAuthentication** with **Azure.Identity**. We would want to make sure that it continues to work well with managed identities in Azure and the local user identity when running locally.\r\n\r\n**Describe alternatives you\'ve considered**\r\nWe could stick with **Microsoft.Azure.Services.AppAuthentication**, but there is some risk that this library could be deprecated.\r\n\r\n**Additional context**\r\nThis is just an internal implementation detail and should not impact end-user apps.\r\n","enhancement","Swapping Microsoft.Azure.Services.AppAuthentication nuget dependency for Azure.Identity","Resolves #1232 by using DefaultAzureCredential from Azure.Identity instead of AzureServiceTokenProvider from Microsoft.Azure.Services.AppAuthentication."
"Delete private field","Also will require a change to services. I think that\'s it.\r\n\r\nAgreed on call this morning. Brighton not actually using. Croydon not using. Confusing and fixing problem that has been solved other ways.","","Remove private topics #3","Requires localgovdrupal/localgov_services#54 and localgovdrupal/localgov_demo#4 merged first. Then it closes #3 "
"Timestamp of genesis header from the container is from the time when the container was published","<!--\r\nPlease fill in as much of the template below as you can.\r\n\r\nBe ready for followup questions, and please respond in a timely\r\nmanner. We might ask you to provide additional logs and data (tendermint & app).\r\n-->\r\n@ebuchman as mentioned during the last meeting here is the issue regarding the `commit` RPC endpoint and the timestamp for genesis header being from the time the container was published.\r\n\r\n**Tendermint version**: v0.33.5\r\n\r\n\r\n**What you expected to happen**: I would expect that the genesis header has a timestamp from the time when the container was started. The reason why I think this would be useful to fix is that if somebody wants to write integration tests (for example, for light client) they would need to set up trusted period programmatically if they want to start from the genesis block as a trusted block.\r\n\r\n**How to reproduce it**: \r\n```\r\ndocker run -p 26657:26657 tendermint/tendermint:v0.33.5\r\ncurl -X GET ""http://localhost:26657/commit?height=1"" -H  ""accept: application/json""\r\n```\r\n[docker-container-commit-response.txt](https://github.com/tendermint/tendermint/files/4869855/docker-container-commit-response.txt)","","Rework Docker image","## Description\r\n\r\nFollow https://docs.docker.com/develop/develop-images/dockerfile_best-practices/#entrypoint or https://success.docker.com/article/use-a-script-to-initialize-stateful-container-data to resolve #5082.\r\nAlso tackles #5086.\r\n\r\nCloses: #5086\r\nCloses: #5082\r\n\r\n"
